Name;Year;Publisher;Genre;women_percentage;men_percentage;Platform;Console_Name;Manufacturer;Release_Year;Sales;Type;NA_Sales;EU_Sales;JP_Sales;Other_Sales
Classic NES Series: Dr. Mario;2004;Nintendo;Puzzle;0,42;0,58;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,11;0,13;0,01
Contender 2;2000;3DO;Fighting;0,134;0,866;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
Def Jam Rapstar;2010;Konami Digital Entertainment;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0,02;0;0,02
Double Pack: Finding Nemo / The Incredibles;2006;THQ;Action;0,18;0,82;XB;Xbox;Microsoft;2001;24;Home;0,31;0,09;0;0,01
Elite Beat Agents;2006;Nintendo;Misc;0,38;0,62;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0,03;0;0,03
Extreme-G: XG2;1998;Acclaim Entertainment;Racing;0,06;0,94;N64;Nintendo 64;Nintendo;1996;32,93;Home;0,31;0,07;0;0
Family Party: 90 Great Games Party Pack;2010;D3Publisher;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0;0;0,02
FIFA Soccer 08;2007;Electronic Arts;Sports;0,02;0,98;X360;Xbox 360;Microsoft;2005;84;Home;0,31;0,89;0,01;0,14
FIFA Soccer 2002;2001;Electronic Arts;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,24;0;0,08
Fighters Uncaged;2010;Ubisoft;Fighting;0,134;0,866;X360;Xbox 360;Microsoft;2005;84;Home;0,31;0,24;0;0,06
Fighting Force 2;1999;Eidos Interactive;Action;0,18;0,82;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
Fire Emblem: Shadow Dragon;2008;Nintendo;Role-Playing;0,26;0,74;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0,03;0,27;0,03
Flight Control Rocket;2005;THQ;Simulation;0,69;0,31;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,12;0;0,01
Frogger II: Threeedeep!;1983;Parker Bros.;Action;0,18;0,82;2600;Atari 2600;Atari;1977;30;Home;0,31;0,02;0;0
Goosebumps HorrorLand;2008;Scholastic Inc.;Adventure;0,36;0,64;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0;0;0,02
GRID;2008;Codemasters;Racing;0,06;0,94;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,57;0,03;0,2
Harry Potter: Quidditch World Cup;2003;Electronic Arts;Sports;0,02;0,98;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
Hot Shots Golf: Out of Bounds;2007;Sony Computer Entertainment;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,03;0,76;0,04
Imagine: Movie Star;2008;Ubisoft;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0;0;0,02
Iron Man;2008;Sega;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0,22;0;0,06
Jampack Volume 13 (RP-T);2005;Sony Computer Entertainment;Misc;0,38;0,62;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,24;0;0,08
LEGO Jurassic World;2015;Warner Bros. Interactive Entertainment;Action;0,18;0,82;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;0,31;0,22;0,03;0,05
LEGO Marvel Super Heroes;2013;Warner Bros. Interactive Entertainment;Action;0,18;0,82;WiiU;Wii U;Nintendo;2012;13,56;Home;0,31;0,35;0,02;0,06
Lemony Snicket's A Series of Unfortunate Events;2004;Activision;Platform;0,25;0,75;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,24;0;0,08
Lightning Returns: Final Fantasy XIII;2013;Square Enix;Role-Playing;0,26;0,74;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,22;0,45;0,12
Littlest Pet Shop: Garden;2008;Electronic Arts;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0,24;0;0,06
Lollipop Chainsaw;2012;Warner Bros. Interactive Entertainment;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,31;0,13;0,02;0,04
Lord of the Rings: The Third Age;2004;Electronic Arts;Role-Playing;0,26;0,74;XB;Xbox;Microsoft;2001;24;Home;0,31;0,09;0;0,01
Lost Planet: Extreme Condition;2008;Capcom;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,17;0,07;0,09
Marvel Super Hero Squad;2009;THQ;Fighting;0,134;0,866;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0,03;0;0,03
Marvel vs. Capcom 2: New Age of Heroes;2002;Capcom;Fighting;0,134;0,866;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,24;0,13;0,08
Mega Man Battle Network 4: Red Sun / Blue Moon;2003;Capcom;Role-Playing;0,26;0,74;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,04;0,96;0,01
Metal Gear Solid: The Legacy Collection;2013;Konami Digital Entertainment;Adventure;0,36;0,64;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,01;0,03;0,05
Mirror's Edge;2008;Electronic Arts;Platform;0,25;0,75;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,59;0,02;0,22
Mortal Kombat: Deadly Alliance;2002;Midway Games;Fighting;0,134;0,866;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
Naruto: Ninja Destiny (US sales);2006;Namco Bandai Games;Fighting;0,134;0,866;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0;0;0
NASCAR Rumble;2000;Electronic Arts;Racing;0,06;0,94;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
NBA Showtime: NBA on NBC;1999;Midway Games;Sports;0,02;0,98;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
NCAA Basketball 10;2009;Electronic Arts;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0;0;0,03
Need for Speed Underground 2;2004;Electronic Arts;Racing;0,06;0,94;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,12;0;0,01
NHL 15;2014;Electronic Arts;Sports;0,02;0,98;XOne;Xbox One;Microsoft;2013;46,9;Home;0,31;0,06;0;0,03
Power Rangers: Dino Thunder;2004;THQ;Action;0,18;0,82;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
Power Rangers: S.P.D.;2004;THQ;Action;0,18;0,82;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,12;0;0,01
Rampage: Total Destruction;2006;Midway Games;Action;0,18;0,82;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
Ratatouille;2007;THQ;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0;0;0,53
Rune Factory 4;2012;Xseed Games;Role-Playing;0,26;0,74;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;0,31;0;0,21;0,03
Scooby-Doo! Mystery Mayhem;2003;THQ;Action;0,18;0,82;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,12;0;0,01
Shaun White Snowboarding;2008;Ubisoft;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,24;0,01;0,1
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~;2001;D3Publisher;Shooter;0,055;0,945;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
Sleeping Dogs;2012;Square Enix;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,5;0,05;0,19
Smart Girl's Party Game;2008;505 Games;Misc;0,38;0,62;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0;0;0,02
Spider-Man: Friend or Foe;2007;Activision;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,01;0;0,05
Split/Second;2010;Disney Interactive Studios;Racing;0,06;0,94;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,31;0,01;0,12
Star Wars: Clone Wars;2002;Activision;Shooter;0,055;0,945;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
Star Wars: Dark Forces;1996;LucasArts;Shooter;0,055;0,945;PS;PlayStation;Sony;1994;102,49;Home;0,31;0,21;0;0,04
Steel Diver;2011;Nintendo;Action;0,18;0,82;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;0,31;0,1;0,05;0,03
Street Fighter X Tekken;2012;Capcom;Fighting;0,134;0,866;X360;Xbox 360;Microsoft;2005;84;Home;0,31;0,1;0,03;0,03
Sword of Mana;2003;Nintendo;Role-Playing;0,26;0,74;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,11;0,3;0,02
Tak and the Power of Juju;2003;THQ;Platform;0,25;0,75;GC;GameCube;Nintendo;2001;21,74;Home;0,31;0,08;0;0,01
The Amazing Spider-Man (Console Version);2012;Activision;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,37;0;0,14
The Chronicles of Narnia: Prince Caspian;2008;Disney Interactive Studios;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0,02;0;0,03
The Fairly Odd Parents: Game Boy Advance Video Volume 1;2004;N/A;Misc;0,38;0,62;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,11;0;0,01
The Lord of the Rings: The Fellowship of the Ring;2002;Universal Interactive;Action;0,18;0,82;XB;Xbox;Microsoft;2001;24;Home;0,31;0,19;0;0,03
The Powerpuff Girls: Him and Seek;2002;BAM! Entertainment;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,31;0,11;0;0,01
The Sims;2003;Electronic Arts;Simulation;0,69;0,31;XB;Xbox;Microsoft;2001;24;Home;0,31;0,1;0;0,01
Tiger Woods PGA Tour 07;2006;Electronic Arts;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,12;0;0,07
Tom Clancy's HAWX;2009;Ubisoft;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,31;0,19;0,02;0,06
Up;2009;THQ;Action;0,18;0,82;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,31;0,28;0;0,07
Wii Party U;2013;Nintendo;Misc;0,38;0,62;WiiU;Wii U;Nintendo;2012;13,56;Home;0,31;0,54;0,84;0,08
Wipeout 2;2011;Activision;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,31;0;0;0,02
WWE 2K16;2015;Take-Two Interactive;Sports;0,02;0,98;XOne;Xbox One;Microsoft;2013;46,9;Home;0,31;0,22;0;0,05
X2: Wolverine's Revenge;2003;Activision;Platform;0,25;0,75;PS2;PlayStation 2;Sony;2000;155;Home;0,31;0,24;0;0,08
X-Men Origins: Wolverine - Uncaged Edition;2009;Activision;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;0,31;0,32;0;0,13
007 Racing;2000;Electronic Arts;Racing;0,06;0,94;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,2;0;0,03
007: Quantum of Solace;2008;Activision;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0,29;0,01;0,07
2010 FIFA World Cup South Africa;2010;Electronic Arts;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,64;0,07;0,22
Ace Combat: Assault Horizon;2011;Namco Bandai Games;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,16;0,22;0,07
Ace Combat: Assault Horizon;2011;Namco Bandai Games;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,12;0,03;0,04
Advance Wars: Dual Strike;2005;Nintendo;Strategy;0,09;0,91;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,03;0,04;0,03
Avatar: The Last Airbender;2006;THQ;Adventure;0,36;0,64;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,01;0;0,03
Backyard Wrestling: Don't Try This at Home;2003;Eidos Interactive;Fighting;0,134;0,866;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,23;0;0,08
Bigfoot: Collision Course;2008;Zoo Digital Publishing;Racing;0,06;0,94;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0;0;0,02
Birthday Party Bash;2009;Take-Two Interactive;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0;0;0,02
Bleach: The Blade of Fate;2006;Sega;Fighting;0,134;0,866;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,01;0,12;0,03
Blue Dragon;2006;Microsoft Game Studios;Role-Playing;0,26;0,74;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,33;0,21;0,08
Call of Juarez: Bound in Blood;2009;Ubisoft;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,24;0;0,06
Catherine;2011;Deep Silver;Adventure;0,36;0,64;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,15;0,2;0,07
Dance Dance Revolution Universe;2007;Konami Digital Entertainment;Simulation;0,69;0,31;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0;0;0,02
Dead or Alive 2;2000;Tecmo Koei;Fighting;0,134;0,866;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,24;0,38;0,08
Dead or Alive 4;2005;Tecmo Koei;Fighting;0,134;0,866;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,03;0,1;0,03
Dead or Alive Ultimate;2004;Tecmo Koei;Fighting;0,134;0,866;XB;Xbox;Microsoft;2001;24;Home;0,3;0,1;0,08;0,02
Def Jam Icon;2007;Electronic Arts;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,01;0;0,03
Dexter's Laboratory Deesaster Strikes;2001;BAM! Entertainment;Adventure;0,36;0,64;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Discovery Kids: Puppy Playtime;2009;505 Games;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0;0;0,02
Disney Universe;2011;Disney Interactive Studios;Action;0,18;0,82;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,23;0;0,09
Donkey Konga 2;2004;Nintendo;Misc;0,38;0,62;GC;GameCube;Nintendo;2001;21,74;Home;0,3;0,08;0;0,01
Dragon Ball: XenoVerse;2015;Namco Bandai Games;Fighting;0,134;0,866;PS4;PlayStation 4;Sony;2013;108,9;Home;0,3;0,48;0,12;0,15
EA Sports UFC;2014;Electronic Arts;Sports;0,02;0,98;XOne;Xbox One;Microsoft;2013;46,9;Home;0,3;0,12;0;0,04
Enemy Territory: Quake Wars;2008;Activision;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,11;0;0,04
Enslaved: Odyssey to the West;2010;Namco Bandai Games;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,19;0;0,05
F.E.A.R. 3;2011;Warner Bros. Interactive Entertainment;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,11;0,01;0,04
Fantastic Pets;2011;THQ;Simulation;0,69;0,31;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,08;0;0,03
Fireball;1981;Starpath Corp.;Action;0,18;0,82;2600;Atari 2600;Atari;1977;30;Home;0,3;0,02;0;0
Frankenstein's Monster;1982;Data Age;Action;0,18;0,82;2600;Atari 2600;Atari;1977;30;Home;0,3;0,02;0;0
Gangs of London;2006;Sony Computer Entertainment;Adventure;0,36;0,64;PSP;PlayStation Portable;Sony;2004;80;Handheld;0,3;0,44;0;0,22
Gex 3: Deep Cover Gecko;1999;Eidos Interactive;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,2;0;0,03
Harvest Moon DS Cute (US sales);2005;Marvelous Interactive;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0;0;0
Hell's Kitchen: The Game;2008;Ubisoft;Simulation;0,69;0,31;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0;0;0,03
Jampack Vol. 2;1996;Sony Computer Entertainment;Misc;0,38;0,62;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,2;0;0,03
Jimmy Neutron: Boy Genius;2001;THQ;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Just Dance 2014;2013;Ubisoft;Misc;0,38;0,62;XOne;Xbox One;Microsoft;2013;46,9;Home;0,3;0,11;0;0,04
Karaoke Revolution Presents American Idol Encore 2;2008;Konami Digital Entertainment;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0;0;0,02
Kinect Sports Rivals;2014;Microsoft Game Studios;Sports;0,02;0,98;XOne;Xbox One;Microsoft;2013;46,9;Home;0,3;0,22;0,02;0,04
Legends of WrestleMania;2009;THQ;Fighting;0,134;0,866;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,17;0;0,07
LEGO Dimensions;2015;Warner Bros. Interactive Entertainment;Action;0,18;0,82;WiiU;Wii U;Nintendo;2012;13,56;Home;0,3;0,16;0;0,05
Lemony Snicket's A Series of Unfortunate Events;2004;Activision;Platform;0,25;0,75;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Madden NFL 09;2008;Electronic Arts;Sports;0,02;0,98;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0;0;0,03
Madden NFL 13;2012;Electronic Arts;Sports;0,02;0,98;PSV;PlayStation Vita;Sony;2011;10;Handheld;0,3;0;0;0,03
Marvel Nemesis: Rise of the Imperfects;2005;Electronic Arts;Fighting;0,134;0,866;GC;GameCube;Nintendo;2001;21,74;Home;0,3;0,08;0;0,01
Mat Hoffman's Pro BMX;2001;Activision;Sports;0,02;0,98;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,2;0;0,04
Mega Man X5;2000;Capcom;Platform;0,25;0,75;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,21;0,2;0,05
Metal Gear Solid: The Twin Snakes;2004;Konami Digital Entertainment;Action;0,18;0,82;GC;GameCube;Nintendo;2001;21,74;Home;0,3;0,08;0,07;0,01
Minute to Win It;2011;Zoo Games;Misc;0,38;0,62;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0;0;0,02
MLB 08: The Show;2008;Sony Computer Entertainment;Sports;0,02;0,98;PSP;PlayStation Portable;Sony;2004;80;Handheld;0,3;0;0;0,02
MLB 15: The Show;2015;Sony Computer Entertainment;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,01;0;0,07
My Baby Boy;2008;Nobilis;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,02;0;0,03
My Weight Loss Coach;2008;Ubisoft;Sports;0,02;0,98;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,54;0;0,11
NBA 2K10;2009;Take-Two Interactive;Sports;0,02;0,98;PSP;PlayStation Portable;Sony;2004;80;Handheld;0,3;0;0;0,03
NBA 2K12;2011;Take-Two Interactive;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0,03;0;0,02
NBA 2K7;2006;Take-Two Interactive;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,04;0;0,04
NCAA Basketball 10;2009;Electronic Arts;Sports;0,02;0,98;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0;0;0,02
Need for Speed (2015);2015;Electronic Arts;Racing;0,06;0,94;XOne;Xbox One;Microsoft;2013;46,9;Home;0,3;0,33;0;0,06
NHL 15;2014;Electronic Arts;Sports;0,02;0,98;PS4;PlayStation 4;Sony;2013;108,9;Home;0,3;0,18;0;0,1
NHL Breakaway 98;1998;Acclaim Entertainment;Sports;0,02;0,98;N64;Nintendo 64;Nintendo;1996;32,93;Home;0,3;0,02;0;0
No More Heroes;2007;Rising Star Games;Action;0,18;0,82;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0,17;0,04;0,05
Nobunaga no Yabou: Haouden;1993;Tecmo Koei;Strategy;0,09;0,91;SNES;Super Nintendo Entertainment System;Nintendo;1990;49,1;Home;0,3;0;0,32;0
Persona 4: Arena;2012;Atlus;Fighting;0,134;0,866;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,12;0,24;0,07
Picross 3D;2009;Nintendo;Puzzle;0,42;0,58;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,03;0,16;0,03
Pirates of the Caribbean: At World's End;2007;Disney Interactive Studios;Action;0,18;0,82;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,01;0,01;0,03
Prince of Persia: The Forgotten Sands;2010;Ubisoft;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,26;0;0,06
Pro Evolution Soccer 2010;2009;Konami Digital Entertainment;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;1,27;0,46;0,26
Professor Layton and the Last Specter;2009;Nintendo;Puzzle;0,42;0,58;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;1,47;0,68;0,34
Ratchet & Clank: Into the Nexus;2013;Sony Computer Entertainment;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,29;0;0,11
Resident Evil: Revelations;2012;Capcom;Action;0,18;0,82;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;0,3;0,22;0,3;0,05
Robotech: Battlecry;2002;TDK Mediactive;Shooter;0,055;0,945;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,23;0;0,08
Scooby-Doo and the Cyber Chase;2001;Ubisoft;Adventure;0,36;0,64;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Scooby-Doo! Classic Creep Capers;2000;THQ;Action;0,18;0,82;N64;Nintendo 64;Nintendo;1996;32,93;Home;0,3;0,06;0;0
SimCity Creator;2008;Electronic Arts;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,03;0;0,03
Star Wars Starfighter: Special Edition;2001;LucasArts;Simulation;0,69;0,31;XB;Xbox;Microsoft;2001;24;Home;0,3;0,1;0;0,02
Star Wars Trilogy: Apprentice of the Force;2004;Ubisoft;Action;0,18;0,82;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Strike Force Bowling;2004;Play It;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,24;0;0,08
Tak 2: The Staff of Dreams;2004;THQ;Platform;0,25;0,75;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,24;0;0,08
The Bouncer;2000;Sony Computer Entertainment;Action;0,18;0,82;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,23;0,38;0,08
The Fairly Odd Parents: Game Boy Advance Video Volume 2;2004;N/A;Misc;0,38;0,62;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
The Golden Compass;2007;Sega;Action;0,18;0,82;X360;Xbox 360;Microsoft;2005;84;Home;0,3;0,12;0;0,04
The Sims 2: Castaway;2007;Electronic Arts;Simulation;0,69;0,31;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,01;0;0,05
The Sims 3;2011;Electronic Arts;Simulation;0,69;0,31;3DS;Nintendo 3DS;Nintendo;2011;75,71;Handheld;0,3;0,37;0,03;0,07
Time Crisis 3;2003;Namco Bandai Games;Shooter;0,055;0,945;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,23;0;0,08
Tony Hawk's Project 8;2006;Activision;Sports;0,02;0,98;PS3;PlayStation 3;Sony;2006;87,4;Home;0,3;0,23;0,01;0,1
Top Gun: Fire at Will!;1996;Microprose;Misc;0,38;0,62;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,21;0;0,04
TouchMaster 2;2008;Midway Games;Puzzle;0,42;0,58;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,49;0;0,1
TouchMaster 3;2009;Warner Bros. Interactive Entertainment;Puzzle;0,42;0,58;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,11;0;0,04
Trauma Center: Under the Knife;2005;Nintendo;Simulation;0,69;0,31;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,3;0,01;0,02;0,03
Turok: Evolution;2002;Acclaim Entertainment;Shooter;0,055;0,945;GC;GameCube;Nintendo;2001;21,74;Home;0,3;0,08;0;0,01
Turok: Rage Wars;1999;Acclaim Entertainment;Shooter;0,055;0,945;N64;Nintendo 64;Nintendo;1996;32,93;Home;0,3;0,06;0;0
Vagrant Story;2000;Crave Entertainment;Role-Playing;0,26;0,74;PS;PlayStation;Sony;1994;102,49;Home;0,3;0,2;0,3;0,06
WWE SmackDown vs. Raw 2011;2010;THQ;Fighting;0,134;0,866;Wii;Wii;Nintendo;2006;101,63;Home;0,3;0,13;0;0,04
XGRA: Extreme G-Racing Association;2004;Eidos Interactive;Racing;0,06;0,94;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,24;0;0,08
X-Men Legends II: Rise of Apocalypse;2005;Activision;Role-Playing;0,26;0,74;XB;Xbox;Microsoft;2001;24;Home;0,3;0,12;0;0,02
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005;2005;Konami Digital Entertainment;Misc;0,38;0,62;GBA;Game Boy Advance;Nintendo;2001;81,51;Handheld;0,3;0,11;0;0,01
Zone of the Enders;2001;Konami Digital Entertainment;Shooter;0,055;0,945;PS2;PlayStation 2;Sony;2000;155;Home;0,3;0,24;0,13;0,08
Astroblast;1981;Mattel Interactive;Action;0,18;0,82;2600;Atari 2600;Atari;1977;30;Home;0,29;0,02;0;0
Backyard NBA Basketball;2003;Atari;Sports;0,02;0,98;PS2;PlayStation 2;Sony;2000;155;Home;0,29;0,22;0;0,07
Blacksite: Area 51;2007;Midway Games;Shooter;0,055;0,945;X360;Xbox 360;Microsoft;2005;84;Home;0,29;0,23;0;0,06
Bratz 4 Real;2007;THQ;Adventure;0,36;0,64;DS;Nintendo DS;Nintendo;2004;154,02;Handheld;0,29;0,22;0;0,06
Breath of Fire III;1997;Capcom;Role-Playing;0,26;0,74;PS;PlayStation;Sony;1994;102,49;Home;0,29;0,19;0,46;0,07
Brink;2011;Bethesda Softworks;Shooter;0,055;0,945;PS3;PlayStation 3;Sony;2006;87,4;Home;0,29;0,32;0,01;0,12
Cabela's Outdoor Adventures (2009);2009;Activision Value;Sports;0,02;0,98;Wii;Wii;Nintendo;2006;101,63;Home;0,29;0;0;0,02
Calvin Tucker's Redneck Jamboree;2008;Zoo Games;Misc;0,38;0,62;Wii;Wii;Nintendo;2006;101,63;Home;0,29;0;0;0,02
Cars: Race-O-Rama;2009;THQ;Racing;0,06;0,94;PSP;PlayStation Portable;Sony;2004;80;Handheld;0,29;0,07;0;0,06
Custom Robo;2004;Nintendo;Role-Playing;0,26;0,74;GC;GameCube;Nintendo;2001;21,74;Home;0,29;0,07;0;0,01
DanceDanceRevolution;2010;Konami Digital Entertainment;Simulation;0,69;0,31;Wii;Wii;Nintendo;2006;101,63;Home;0,29;0,04;0;0,02
